state,densityMi,pop2023,pop2022,pop2020,pop2019,pop2010,growthRate,growth,growthSince2010,HappiestStatesTotalHappinessScore,HappiestStatesEmotionalAndPhysicalWellBeingRank,HappiestStatesCommunityAndEnvironmentRank,HappiestStatesWorkEnvironmentRank,QualityOfLifeTotalScore,QualityOfLifeQualityOfLife,QualityOfLifeAffordability,QualityOfLifeEconomy,QualityOfLifeEducationAndHealth,QualityOfLifeSafety,LSTATE
Alabama,100.6762,5098746,5074296,5031362,5006199.4,4779736,0.0048200000000000005,24450,0.06674,39.32,45,46,40,45.61,40,1,40,48,32,AK
Alaska,1.28449,732984,733583,732923,730653.8,710231,-0.00082,-599,0.03204,46.27,24,49,37,40.93,50,42,22,30,45,AL
Arizona,65.61541,7453517,7359197,7179943,7101150.4,6392017,0.012819999999999998,94320,0.16607,50.22,28,33,29,48.31,21,25,14,39,40,AR
Arkansas,58.86715,3063152,3045637,3014195,3004367.3,2915918,0.00575,17515,0.05049,38.23,47,31,46,42.42,46,4,34,45,47,AZ
California,249.81347000000002,38915693,39029342,39501653,39276883.3,37253956,-0.0029100000000000003,-113649,0.044610000000000004,59.97,12,5,14,52.03,2,50,15,24,27,CA
Colorado,56.62333,5868555,5839926,5784865,5709298.1,5029196,0.0049,28629,0.1669,50.7,27,47,8,53.37,12,28,18,10,43,CO
Connecticut,749.49504,3629055,3626205,3597362,3595035.5,3574097,0.00079,2850,0.015380000000000001,58.15,7,28,21,52.21,24,45,46,3,14,CT
Delaware,529.49461,1031985,1018396,992114,982696.0,897934,0.013340000000000001,13589,0.14929,55.16,11,18,41,52.33,48,21,29,22,17,DE
Florida,422.59351,22661577,22244823,21589602,21310772.8,18801310,0.01873,416754,0.20531999999999997,55.08,4,48,30,58.07,5,33,6,25,15,FL
Georgia,191.91701,11037723,10912876,10729828,10625610.5,9687653,0.01144,124847,0.13935999999999998,54.78,16,14,32,50.76,18,17,13,43,22,GA
Hawaii,223.14152,1433238,1440196,1451043,1441968.8,1360301,-0.00483,-6958,0.05362000000000001,66.31,1,7,17,47.46,43,49,30,4,37,HI
Idaho,23.88287,1973752,1939033,1849202,1821040.0,1567582,0.01791,34719,0.25911,61.6,25,2,3,58.73,22,13,9,29,6,IA
Illinois,224.74459,12477595,12582032,12786580,12790985.2,12830632,-0.0083,-104437,-0.02752,58.59,3,34,33,55.47,4,36,50,23,7,ID
Indiana,191.27286999999998,6852542,6833037,6788799,6758299.3,6483802,0.00285,19505,0.056870000000000004,47.41,37,30,22,49.4,33,3,43,37,24,IL
Iowa,57.349030000000006,3203345,3200517,3190571,3176149.4,3046355,0.00088,2828,0.05152999999999999,55.57,21,29,6,55.37,17,20,28,18,21,IN
Kansas,35.915040000000005,2936378,2937150,2937919,2929438.9,2853118,-0.00026000000000000003,-772,0.02918,49.9,31,26,23,52.47,27,24,19,28,25,KS
Kentucky,114.42108999999999,4518031,4512310,4507445,4490637.2,4339367,0.0012699999999999999,5721,0.04117,38.36,49,25,45,46.39,47,10,42,41,30,KY
Louisiana,105.39265,4553384,4590241,4651664,4639834.8,4533372,-0.008029999999999999,-36857,0.00441,34.81,48,39,49,41.74,37,19,45,49,35,LA
Maine,45.17855,1393442,1385340,1363557,1360037.4,1328361,0.00585,8102,0.04899,52.67,22,35,19,57.55,25,35,12,7,10,MA
Maryland,634.04862,6154710,6164660,6173205,6133239.7,5773552,-0.00161,-9950,0.06602000000000001,62.6,5,4,24,54.4,31,38,31,12,13,MD
Massachusetts,894.1356400000001,6974258,6981974,6995729,6950919.0,6547629,-0.0011099999999999999,-7716,0.06516,57.12,6,41,15,62.65,6,44,10,1,4,ME
Michigan,177.41244,10030722,10034113,10069577,10050983.3,9883640,-0.00033999999999999997,-3391,0.01488,46.51,38,24,35,50.87,14,15,47,33,23,MI
Minnesota,71.87131,5722897,5717184,5709852,5669259.3,5303925,0.001,5713,0.07899,62.43,10,9,2,57.99,8,12,25,9,31,MN
Mississippi,62.45398,2930528,2940057,2958141,2959056.6,2967297,-0.00324,-9529,-0.01239,39.58,43,38,50,39.77,49,7,49,50,34,MO
Missouri,89.98998,6186091,6177957,6153998,6137490.9,5988927,0.00132,8134,0.03292,45.38,40,35,27,48.79,23,5,33,34,42,MS
Montana,7.82919,1139507,1122867,1087075,1077309.0,989415,0.014819999999999998,16640,0.1517,51.34,41,13,4,53.75,28,27,3,19,39,MT
Nebraska,25.67286,1972292,1967923,1962642,1949011.9,1826341,0.0022199999999999998,4369,0.07991000000000001,58.19,13,22,7,53.08,32,31,20,17,28,NC
Nevada,29.23222,3209142,3177772,3115648,3074138.3,2700551,0.00987,31370,0.18833,48.16,35,6,43,47.58,19,39,41,35,18,ND
New Hampshire,156.70245,1402957,1395231,1378587,1372375.3,1316470,0.00554,7726,0.0657,56.46,18,20,13,58.25,36,40,7,6,5,NE
New Jersey,1258.5582,9255437,9261699,9271689,9223709.5,8791894,-0.0006799999999999999,-6262,0.05272,61.71,2,19,28,62.01,7,48,39,5,1,NH
New Mexico,17.39527,2110011,2113344,2118390,2112468.9,2059179,-0.00158,-3333,0.02469,43.64,42,17,47,42.51,30,26,36,42,50,NJ
New York,413.71663,19496810,19677151,20108296,20035276.6,19378102,-0.00916,-180341,0.00613,53.36,8,45,42,60.64,1,46,37,16,2,NM
North Carolina,222.7994,10832061,10698973,10449445,10358048.8,9535483,0.012440000000000001,133088,0.13597,53.65,14,40,25,51.51,16,18,17,31,36,NV
North Dakota,11.312710000000001,780588,779261,779518,768825.3,672591,0.0017,1327,0.16057000000000002,57.37,19,10,9,54.17,38,29,1,26,26,NY
Ohio,287.50579,11747774,11756058,11797517,11771415.7,11536504,-0.0007,-8284,0.01831,46.81,39,16,36,49.32,15,22,48,38,19,OH
Oklahoma,59.01851,4048375,4019800,3964912,3943555.9,3751351,0.007109999999999999,28575,0.07918,40.69,46,12,44,43.82,35,14,32,47,46,OK
Oregon,44.00522,4223973,4240137,4244795,4203422.9,3831074,-0.00381,-16164,0.10255999999999998,52.11,30,23,12,48.97,13,41,11,20,44,OR
Pennsylvania,289.02749,12931957,12972008,12994440,12965233.9,12702379,-0.00309,-40051,0.01807,51.87,26,21,34,56.42,3,30,38,21,16,PA
Rhode Island,1054.62573,1090483,1093734,1096345,1091967.2,1052567,-0.00297,-3251,0.036019999999999996,51.55,23,43,18,51.65,44,47,35,11,8,RI
South Carolina,178.70337,5372002,5282634,5131848,5081199.6,4625364,0.016919999999999998,89368,0.16142,49.62,32,11,38,43.8,26,11,27,46,49,SC
South Dakota,12.1814,923484,909824,887799,880437.1,814180,0.015009999999999999,13660,0.13425,57.6,15,15,10,53.13,41,23,5,27,29,SD
Tennessee,173.0163,7134327,7051339,6925619,6867667.6,6346105,0.011770000000000001,82988,0.12420999999999999,43.35,44,42,26,48.85,34,9,21,40,38,TN
Texas,116.75553000000001,30500280,30029572,29232474,28823782.7,25145561,0.01567,470708,0.21295,47.74,17,50,39,49.0,11,34,26,36,33,TX
Utah,41.6513,3422487,3380800,3283785,3231795.0,2763885,0.012329999999999999,41687,0.23829,62.41,29,1,1,56.84,29,6,2,8,41,UT
Vermont,70.2133,647156,647064,642893,641177.8,625741,0.00014,92,0.03422,48.46,34,44,11,57.52,42,43,8,2,9,VA
Virginia,220.55895,8709873,8683619,8636471,8572926.3,8001024,0.00302,26254,0.08859,57.84,9,27,20,58.73,20,16,23,15,11,VT
Washington,117.83476,7830827,7785786,7724031,7624081.9,6724540,0.00579,45041,0.16451,53.53,33,8,5,52.11,9,37,4,14,48,WA
West Virginia,73.41651,1764786,1775156,1791420,1797577.4,1852994,-0.00584,-10370,-0.0476,33.83,50,32,48,46.84,45,2,44,44,20,WI
Wisconsin,109.03241000000001,5904977,5892539,5896271,5875342.5,5686986,0.0021100000000000003,12438,0.03833,53.61,20,37,16,57.92,10,32,24,13,12,WV
Wyoming,6.00743,583279,581381,577605,576207.1,563626,0.0032600000000000003,1898,0.03487,52.4,36,3,31,58.0,39,8,16,32,3,WY
